test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha
0.549446893,1,1,5,1.00E-04,0,1000,0.6,0.1
0.592281461,2,1,5,1.00E-04,0,1000,0.6,0.1
0.594277635,3,1,5,1.00E-04,0,1000,0.6,0.1
0.54512185,4,1,5,1.00E-04,0,1000,0.6,0.1
0.576312069,5,1,5,1.00E-04,0,1000,0.6,0.1
0.404391583,6,1,5,1.00E-04,0,1000,0.6,0.1
0.595442069,7,1,5,1.00E-04,0,1000,0.6,0.1
0.616401896,8,1,5,1.00E-04,0,1000,0.6,0.1
0.525575979,9,1,5,1.00E-04,0,1000,0.6,0.1
0.605589287,10,1,5,1.00E-04,0,1000,0.6,0.1
0.578225069,11,1,5,1.00E-04,0,1000,0.6,0.1
0.615902853,12,1,5,1.00E-04,0,1000,0.6,0.1
0.293603926,13,1,5,1.00E-04,0,1000,0.6,0.1
0.633369375,14,1,5,1.00E-04,0,1000,0.6,0.1
0.573317808,15,1,5,1.00E-04,0,1000,0.6,0.1
0.607169592,16,1,5,1.00E-04,0,1000,0.6,0.1
0.607003244,17,1,5,1.00E-04,0,1000,0.6,0.1
0.589703069,18,1,5,1.00E-04,0,1000,0.6,0.1
0.554603676,19,1,5,1.00E-04,0,1000,0.6,0.1
0.601097896,20,1,5,1.00E-04,0,1000,0.6,0.1
0.620810114,21,1,5,1.00E-04,0,1000,0.6,0.1
0.524078849,22,1,5,1.00E-04,0,1000,0.6,0.1
0.613740331,23,1,5,1.00E-04,0,1000,0.6,0.1
0.584047243,24,1,5,1.00E-04,0,1000,0.6,0.1
0.609997505,25,1,5,1.00E-04,0,1000,0.6,0.1
0.617815853,26,1,5,1.00E-04,0,1000,0.6,0.1
0.325875405,27,1,5,1.00E-04,0,1000,0.6,0.1
0.625883723,28,1,5,1.00E-04,0,1000,0.6,0.1
0.619978375,29,1,5,1.00E-04,0,1000,0.6,0.1
0.573234634,30,1,5,1.00E-04,0,1000,0.6,0.1
0.559594111,31,1,5,1.00E-04,0,1000,0.6,0.1
0.489561673,32,1,5,1.00E-04,0,1000,0.6,0.1
0.362139233,33,1,5,1.00E-04,0,1000,0.6,0.1
0.59843633,34,1,5,1.00E-04,0,1000,0.6,0.1
0.544290111,35,1,5,1.00E-04,0,1000,0.6,0.1
0.602844548,36,1,5,1.00E-04,0,1000,0.6,0.1
0.602095983,37,1,5,1.00E-04,0,1000,0.6,0.1
0.590285287,38,1,5,1.00E-04,0,1000,0.6,0.1
0.618065375,39,1,5,1.00E-04,0,1000,0.6,0.1
0.592946852,40,1,5,1.00E-04,0,1000,0.6,0.1
0.594111287,41,1,5,1.00E-04,0,1000,0.6,0.1
0.584379938,42,1,5,1.00E-04,0,1000,0.6,0.1
0.617899027,43,1,5,1.00E-04,0,1000,0.6,0.1
0.556766198,44,1,5,1.00E-04,0,1000,0.6,0.1
0.617982201,45,1,5,1.00E-04,0,1000,0.6,0.1
0.634284288,46,1,5,1.00E-04,0,1000,0.6,0.1
0.584130417,47,1,5,1.00E-04,0,1000,0.6,0.1
0.55701572,48,1,5,1.00E-04,0,1000,0.6,0.1
0.545537719,49,1,5,1.00E-04,0,1000,0.6,0.1
0.593030026,50,1,5,1.00E-04,0,1000,0.6,0.1
0.635947767,51,1,5,1.00E-04,0,1000,0.6,0.1
0.61116194,52,1,5,1.00E-04,0,1000,0.6,0.1
0.615403809,53,1,5,1.00E-04,0,1000,0.6,0.1
0.524078849,54,1,5,1.00E-04,0,1000,0.6,0.1
0.638692506,55,1,5,1.00E-04,0,1000,0.6,0.1
0.548615154,56,1,5,1.00E-04,0,1000,0.6,0.1
0.617150462,57,1,5,1.00E-04,0,1000,0.6,0.1
