test accuracy,numEpoch,ensemble,hidden nodes,alpha decay,momentum,max Epoch,early stop limit,alpha
0.529669763,1,1,5,1.00E-04,0,1000,0.6,0.1
0.527605779,1,1,5,1.00E-04,0,1000,0.6,0.1
0.553405573,2,1,5,1.00E-04,0,1000,0.6,0.1
0.584623323,3,1,5,1.00E-04,0,1000,0.6,0.1
0.59494324,4,1,5,1.00E-04,0,1000,0.6,0.1
0.584107327,5,1,5,1.00E-04,0,1000,0.6,0.1
0.512899897,6,1,5,1.00E-04,0,1000,0.6,0.1
0.58255934,7,1,5,1.00E-04,0,1000,0.6,0.1
0.575851393,8,1,5,1.00E-04,0,1000,0.6,0.1
0.585655315,9,1,5,1.00E-04,0,1000,0.6,0.1
0.53869969,10,1,5,1.00E-04,0,1000,0.6,0.1
0.57249742,11,1,5,1.00E-04,0,1000,0.6,0.1
0.577141383,12,1,5,1.00E-04,0,1000,0.6,0.1
0.599587203,13,1,5,1.00E-04,0,1000,0.6,0.1
0.593395253,14,1,5,1.00E-04,0,1000,0.6,0.1
0.569659443,15,1,5,1.00E-04,0,1000,0.6,0.1
0.588235294,16,1,5,1.00E-04,0,1000,0.6,0.1
0.592105263,17,1,5,1.00E-04,0,1000,0.6,0.1
0.578431373,18,1,5,1.00E-04,0,1000,0.6,0.1
0.603457172,19,1,5,1.00E-04,0,1000,0.6,0.1
0.546697626,20,1,5,1.00E-04,0,1000,0.6,0.1
0.590815273,21,1,5,1.00E-04,0,1000,0.6,0.1
0.577399381,22,1,5,1.00E-04,0,1000,0.6,0.1
0.582043344,23,1,5,1.00E-04,0,1000,0.6,0.1
0.574303406,24,1,5,1.00E-04,0,1000,0.6,0.1
0.576625387,25,1,5,1.00E-04,0,1000,0.6,0.1
0.565531476,26,1,5,1.00E-04,0,1000,0.6,0.1
0.599071207,27,1,5,1.00E-04,0,1000,0.6,0.1
0.575335397,28,1,5,1.00E-04,0,1000,0.6,0.1
0.570949432,29,1,5,1.00E-04,0,1000,0.6,0.1
0.562951496,30,1,5,1.00E-04,0,1000,0.6,0.1
0.574303406,31,1,5,1.00E-04,0,1000,0.6,0.1
0.575077399,32,1,5,1.00E-04,0,1000,0.6,0.1
0.569917441,33,1,5,1.00E-04,0,1000,0.6,0.1
0.569659443,34,1,5,1.00E-04,0,1000,0.6,0.1
0.54747162,35,1,5,1.00E-04,0,1000,0.6,0.1
0.581011352,36,1,5,1.00E-04,0,1000,0.6,0.1
0.562177503,37,1,5,1.00E-04,0,1000,0.6,0.1
0.601393189,38,1,5,1.00E-04,0,1000,0.6,0.1
0.608359133,39,1,5,1.00E-04,0,1000,0.6,0.1
0.595975232,40,1,5,1.00E-04,0,1000,0.6,0.1
0.488906089,41,1,5,1.00E-04,0,1000,0.6,0.1
0.584107327,42,1,5,1.00E-04,0,1000,0.6,0.1
0.577399381,43,1,5,1.00E-04,0,1000,0.6,0.1
0.594169247,44,1,5,1.00E-04,0,1000,0.6,0.1
0.592879257,45,1,5,1.00E-04,0,1000,0.6,0.1
0.562951496,46,1,5,1.00E-04,0,1000,0.6,0.1
0.519865841,47,1,5,1.00E-04,0,1000,0.6,0.1
0.574045408,48,1,5,1.00E-04,0,1000,0.6,0.1
